date,2026-03-17_08:00
model,SimCRC v0.13.0
risk_scenario,BASE
population,TOTAL
adherence,PERFECT
stooltest_type,FIT
stooltest_startage,55
stooltest_stopage,85
stooltest_interval,2
structuralexam_type,NA
structuralexam_startage,NA
structuralexam_stopage,NA
structuralexam_interval,NA

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sensa,n_pos_sdna,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sensa,n_neg_sdna,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,n_ovrdg_crc,n_ovrdg_adn,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
40,985550,985550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,55,59,10,0,1646,0,0,984747.98444888,984675.967767679,6.30624012735022,16.0949575473563,21.3178722932709,11.2136214986292,0,0,0,0,0,0,0.850294951593078,8.04537241629764,0,0,0,0,0,0
41,983894,983749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,43,42,41,0,1768,0,0,983000.444466254,982804.416926857,15.2709666133115,30.1922953684559,44.9934417468511,19.059471052754,6.30624012735022,16.0949575473563,20.8507310042398,6.65610825790443,0,0.624666716289049,7.69981227313138,27.5772483561653,0,0,0.765129677252844,0.609895495697856,0,0
42,982085,981845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,64,59,62,0,1828,0,0,981148.023301422,980853.505497116,13.5909216037461,33.362550836157,46.1588410221884,21.7312350287145,21.5772067406617,44.1465326021645,57.7479493506243,12.9654239325119,0,1.57189021117707,9.15692800945801,30.1483446580616,0,0,1.17922841059044,0.390104504302144,0,0
43,980195,979840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,75,64,57,0,2017,0,0,979135.241096312,978710.945436504,18.4470115683617,43.4703632842451,60.5344320172875,23.0989570869708,35.1681283444078,77.5090834383214,97.4597863476108,25.3984690737848,0,1.6037543761522,11.4433578265354,29.4636023739957,0,0,0.055641912156716,0,0,0
44,978121,977624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,52,67,77,63,0,2088,0,0,977055.688778051,976480.772803456,18.4184031389825,43.758700916995,65.535639303628,32.4256518216852,53.6151399127695,117.731984832867,147.396121888873,33.1453170562431,0,2.84077737266058,14.2865620206276,38.7453449112779,0.752671237802133,1.0513414638117,0,0,0,0
45,975970,975317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,57,74,81,92,0,2169,0,0,974818.967218479,974098.78393375,21.3225993008611,55.0243751544735,63.6291066092902,36.8835351001309,71.5778905184616,156.084716015303,195.515505032108,52.5612067709526,0,5.44165245480715,20.7622829330362,44.6309312228919,0.247328762197867,1.16408905130811,0.186465409584343,0,0,0
46,973709,972921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,110,87,99,0,2381,0,0,972460.882978322,971586.610584953,15.3321551733336,54.3902889416382,84.5449135747856,34.1544584636013,92.558576572773,204.481584176629,244.15964386174,66.1197079166217,0,5.60271912689904,17.9878463928972,48.9632483150731,0.341913246549666,1.01988510927185,0.813534590415657,0.707374367397279,0,0
47,971229,970275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,64,90,85,104,0,2545,0,0,969912.693016884,968884.559674872,15.2190138544851,55.0203665909399,84.1022054561045,38.7368095818184,106.184215016904,250.94983472805,315.28786915953,71.4052978449238,0,7.90126317826675,22.584211529315,59.0419298761295,1.70651672920212,0.895054723136127,0.759529934963211,0.292625632602721,0,0
48,968580,967474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,70,98,111,129,0,2710,0,0,967177.146871711,965991.258514275,17.4711067600693,66.9914242780795,80.3852723243666,42.6534937555917,120.451658847141,299.287213719018,367.941029380543,77.6800594496921,0,7.65909318085485,35.3976724832152,63.4592707104002,1.67429921240546,0.93213534890674,0.882613185560331,0,0,0
49,965741,964473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,72,116,113,144,0,2862,0,0,964253.30467563,962890.155221744,23.0049687912456,72.0549714834997,101.472098662882,41.5473715482659,135.772483353217,357.402934660837,419.116804082177,90.6259846197331,1.3569130433529,9.04911845368843,34.2665751437618,71.2796033149554,0.277270811842754,0.937494303565472,0.357856879476458,0.556694890139404,0,0
50,962735,961281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,81,100,109,147,0,3020,0,0,961180.277396642,959635.258271016,29.6976952536885,74.7209164462387,99.9302138990353,49.8181728341799,154.905156086419,421.894544534781,491.877287182079,98.3089532269848,3.4588709610199,8.85782392879874,38.2040350553184,73.506245852282,0,0.0999029041267931,0.265441631199792,0,0,0
51,959568,957951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,65,127,108,157,0,3440,0,0,957752.500065708,956054.911046125,19.7723574932403,64.488239242781,105.430181255423,48.6041190678019,183.832060441504,486.958724137198,559.22957330074,112.885446207355,0.77079089860301,12.7485771931611,33.5164357410385,68.1996775822225,0,1.32549908012152,1.70657747754991,0,0,0
52,955971,954190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,94,134,125,142,0,3658,0,0,954071.95565334,952168.032827683,29.793923012075,72.6920669284376,117.754865084968,54.8688852466066,202.237291984688,542.080072036398,637.032009814097,119.500737919994,0.793449262624023,10.1462911643266,37.1579533463735,71.6171621132905,0.573676687432453,2.79430752759703,1.87093489570543,1.68907353513455,0,0
53,952171,950154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,94,136,120,154,0,3742,0,0,950234.440837524,948100.15017012,28.8510096923793,93.0415470134081,121.916238903819,54.5480001068078,231.064460481575,603.36636863375,718.73395490805,138.106708269591,0.206550737375977,11.5946116938718,44.6973604880006,80.5125933210328,0.760203777812421,1.70995993283577,3.64962348109111,1.48088884982866,0,0
54,948275,946039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,103,133,153,196,0,4215,0,0,946030.457986574,943691.193657756,34.8379440706549,94.49612940144,110.330136948207,52.2269117905657,259.15018328912,680.08093041782,799.855219017325,149.46550999696,0.0991673500788082,17.404903498675,44.8703268183598,86.7903020999713,0.666119534755126,2.76180009986274,2.34656565682963,0.751470205374062,0,0
55,943864,941407,34364,0,0,0,0,0,907043,0,0,0,0,0,8119,26245,0,0,1422,920,4052,984,586,130,25,0,0,0,0,0,0,0,14,38,57,45,180,0,4604,0,0,941466.972100875,937298.085156039,1001.89695451886,650.946665858625,218.995610011813,54.2535819141296,291.771701668988,754.462438270664,873.557404670923,160.806423989583,2.80361553988957,20.7987690624431,42.5818428215989,96.076402817066,3.41445361659862,5.29683567234315,3.22331850137562,1.54146271230361,0,0
56,939080,934940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,63,46,173,0,4862,0,0,936572.817127589,932442.08692527,14.2472207528372,33.4746102201253,51.8314749042926,16.8124447075942,1287.31027109244,1372.69040016766,1030.43049193398,167.048923122578,2.15071396276974,23.8718783913382,57.9880954998013,55.9402804418101,4.20767113263719,6.8514374170918,5.46768038839794,0.470376404700801,0,0
57,934045,929916,31889,0,0,0,0,0,865768,0,0,0,0,0,7018,24871,0,0,1600,923,3609,602,236,46,2,0,0,0,0,0,0,0,8,20,31,18,132,0,5307,0,0,931349.207459157,926367.805883021,611.997133109076,270.397171206823,85.3761520959944,16.828415248634,1294.28334226995,1372.32152785529,1039.60271230933,152.494529472192,5.87147936975608,33.5834301247433,40.2910674400773,40.528200454745,5.3507627742365,5.66349578928202,8.47537190136279,0.577418158296496,0,0
58,928606,923669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,3786,0,0,0,0,0,0,0,185,16,18,1,1,2,0,12,40,50,39,123,0,5707,0,0,925705.461447248,920769.357712053,12.2938278017603,25.3833896686659,33.4780929678941,9.48553576266908,1881.86562361824,1600.03788916771,1075.25772544598,147.331500741295,16.2360627921996,36.6543327295697,43.0145593281549,31.028882045903,8.17878896859474,6.42992936443564,6.27377194026485,0.712871432537213,0,0
59,922776,917838,30230,0,0,0,0,0,825133,0,0,0,0,0,6696,23534,0,0,1630,954,3344,531,198,31,8,0,0,0,0,0,0,0,7,23,37,22,136,0,6145,0,0,919624.634372701,913958.354460837,536.597719938339,227.3956236285,73.1861259558881,17.1168868153414,1859.7812871398,1569.68797391212,1077.53793934332,146.263778661057,23.9084819827597,53.1633072813351,30.2656739164489,26.3605487835692,12.3827421276364,6.93737234793838,5.47327570128255,0.287128567462787,0,0
60,916495,910862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,3333,0,0,0,0,0,0,0,172,20,23,1,1,0,0,14,28,33,36,165,0,6671,0,0,913078.269371882,907486.707197987,11.1212604904327,21.794238974006,28.1508490038613,7.51076953485245,2347.54850769415,1733.74046588271,1105.06157756929,140.143686614466,30.5366702076507,57.1190259213936,41.2488030849709,31.5502172743931,18.2938291763421,6.06860800948925,7.63571131951176,1.09967631750386,0,0
61,909659,904105,28662,0,0,0,0,0,784809,0,0,0,0,0,6394,22268,0,18,1686,963,3049,469,199,24,4,0,0,0,0,0,0,0,14,13,23,25,165,0,7174,0,0,906015.847138632,899839.355750363,476.185159827662,215.483724769231,47.7942759146154,16.8079818875591,2291.83462021101,1688.53541646528,1096.02903237911,137.815949180413,48.0933828935882,55.5425071141778,34.0068310847386,26.0423766340472,24.3823853253853,15.8543718868346,6.80911832279526,0.648262159898877,0,0
62,902320,896201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,5139,0,0,0,0,0,0,0,314,42,46,6,1,0,0,12,21,41,51,187,0,7603,0,0,898451.690658986,892397.196036593,19.6264220022599,16.2449762404414,25.2284868479802,11.4635202778459,2694.96612503476,1834.26369185527,1108.98512991031,137.008272550972,54.7302258182463,55.3378138104481,29.2953308047308,22.5747495960695,18.3234291856643,13.8613898188341,8.23288598656654,0.733883090084419,0,0
63,894530,888513,27496,0,0,0,0,0,744403,0,0,0,0,0,6488,21008,211,3670,1797,1034,3037,431,163,22,4,178,21,12,0,0,0,0,7,23,25,32,185,0,8253,0,0,890314.982450429,883760.397555673,433.935149467269,180.845447084236,51.5587750204174,16.9063186177565,2630.69533114973,1777.11364771813,1101.07235976005,133.688703158154,65.4374338272663,58.1806746572083,27.9687338669296,25.255392646146,23.2692361564841,18.8038207227882,9.31454354105517,2.24395480933462,0,0
64,886092,879605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,4970,0,0,0,0,0,0,0,348,51,67,1,2,0,0,18,27,50,35,177,0,9268,0,0,881332.37586838,874900.248448254,13.763983899643,26.1161394781818,32.2314990290437,17.4543552457474,2975.91911928826,1896.00930867289,1124.11565888018,135.317661779282,64.1203678957118,40.2867138108658,22.5098275912777,28.3589172627508,24.5909934330266,21.8555755054113,7.62074545605982,0.334028415381908,0,0
65,876647,870256,27324,0,0,0,0,0,726465,0,0,0,0,0,6715,20609,216,3226,1911,1023,3095,477,178,27,4,175,21,19,0,0,1,0,10,23,27,24,158,0,9799,0,0,871700.190948757,864691.560616795,482.267274530331,199.896075527085,63.1171126247262,14.6017299542743,2877.62844547353,1855.14737618655,1128.21398180064,140.205952781578,74.9028466315682,47.1390901714325,26.5022059686332,25.2388255639871,41.2310710351449,23.4458620231599,10.3840545491697,0,0,0
66,866690,859765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,4961,0,0,0,0,0,0,0,368,62,63,2,3,1,0,18,37,35,42,203,0,10529,0,0,861339.865142231,854483.917474817,17.3333672811144,28.6401438144312,25.7079300490879,10.8974787116926,3230.92705594097,1983.31094466874,1154.94389635191,138.755450369738,94.9511118845358,47.9708237155502,24.4792957618873,25.0776298396013,34.2613747436553,25.7337540367484,12.6499816416763,1.67535921721719,0,0
67,855958,849163,26471,0,0,0,0,0,706222,0,0,0,0,0,6844,19627,268,2942,1967,1087,3134,450,166,35,5,224,27,17,0,0,0,0,11,18,35,30,206,0,11456,0,0,850157.363025098,842806.457537847,459.711398306801,194.491677427328,63.613192497723,16.8250379434814,3111.71305803975,1934.49935113639,1140.71195253693,138.161878965867,92.4275569799579,56.1487562808294,27.2831516879994,23.7026921620774,48.0307648192497,22.6878848494962,18.0397613686509,2.30393343893655,0,0
68,844296,837045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,5062,0,0,0,0,0,0,0,379,53,80,8,5,1,0,16,42,39,34,191,0,12382,0,0,837976.174029765,830807.791784859,21.1512571681157,26.9014342156551,33.0476221219881,11.8860568738708,3445.66420152418,2040.3493463163,1168.11274760879,145.401115303993,74.8287379624541,56.0364131836379,21.9670545425722,19.5612793498682,50.9315168599132,33.9062846634097,14.9052519828547,0.4610735620372,0,0
69,831723,824610,25695,0,0,0,0,0,682924,0,0,0,0,0,6865,18830,233,2867,1936,1136,3100,461,195,30,7,200,18,12,1,2,0,0,17,21,26,21,191,0,13622,0,0,824787.543015216,817099.575310318,463.240733029547,224.579482352277,59.7587371636528,18.3165721230456,3327.74425671856,1979.12128629348,1168.53898024334,145.799907450837,90.850796674279,58.7224406401876,24.1976040828589,25.0021596771793,57.5721657297108,35.4012074772821,13.347999597434,0.892897486943951,0,0
