date,2026-03-16_16:05
model,SimCRC v0.13.0
risk_scenario,BASE
population,TOTAL
adherence,PERFECT
stooltest_type,FIT
stooltest_startage,50
stooltest_stopage,75
stooltest_interval,3
structuralexam_type,NA
structuralexam_startage,NA
structuralexam_stopage,NA
structuralexam_interval,NA

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sensa,n_pos_sdna,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sensa,n_neg_sdna,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,n_ovrdg_crc,n_ovrdg_adn,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
40,985550,985550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,55,59,10,0,1646,0,0,984747.98444888,984675.967767679,6.30624012735022,16.0949575473563,21.3178722932709,11.2136214986292,0,0,0,0,0,0,0.850294951593078,8.04537241629764,0,0,0,0,0,0
41,983894,983749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,43,42,41,0,1768,0,0,983000.444466254,982804.416926857,15.2709666133115,30.1922953684559,44.9934417468511,19.059471052754,6.30624012735022,16.0949575473563,20.8507310042398,6.65610825790443,0,0.624666716289049,7.69981227313138,27.5772483561653,0,0,0.765129677252844,0.609895495697856,0,0
42,982085,981845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,64,59,62,0,1828,0,0,981148.023301422,980853.505497116,13.5909216037461,33.362550836157,46.1588410221884,21.7312350287145,21.5772067406617,44.1465326021645,57.7479493506243,12.9654239325119,0,1.57189021117707,9.15692800945801,30.1483446580616,0,0,1.17922841059044,0.390104504302144,0,0
43,980195,979840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,75,64,57,0,2017,0,0,979135.241096312,978710.945436504,18.4470115683617,43.4703632842451,60.5344320172875,23.0989570869708,35.1681283444078,77.5090834383214,97.4597863476108,25.3984690737848,0,1.6037543761522,11.4433578265354,29.4636023739957,0,0,0.055641912156716,0,0,0
44,978121,977624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,52,67,77,63,0,2088,0,0,977055.688778051,976480.772803456,18.4184031389825,43.758700916995,65.535639303628,32.4256518216852,53.6151399127695,117.731984832867,147.396121888873,33.1453170562431,0,2.84077737266058,14.2865620206276,38.7453449112779,0.752671237802133,1.0513414638117,0,0,0,0
45,975970,975317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,57,74,81,92,0,2169,0,0,974818.967218479,974098.78393375,21.3225993008611,55.0243751544735,63.6291066092902,36.8835351001309,71.5778905184616,156.084716015303,195.515505032108,52.5612067709526,0,5.44165245480715,20.7622829330362,44.6309312228919,0.247328762197867,1.16408905130811,0.186465409584343,0,0,0
46,973709,972921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,110,87,99,0,2381,0,0,972460.882978322,971586.610584953,15.3321551733336,54.3902889416382,84.5449135747856,34.1544584636013,92.558576572773,204.481584176629,244.15964386174,66.1197079166217,0,5.60271912689904,17.9878463928972,48.9632483150731,0.341913246549666,1.01988510927185,0.813534590415657,0.707374367397279,0,0
47,971229,970275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,64,90,85,104,0,2545,0,0,969912.693016884,968884.559674872,15.2190138544851,55.0203665909399,84.1022054561045,38.7368095818184,106.184215016904,250.94983472805,315.28786915953,71.4052978449238,0,7.90126317826675,22.584211529315,59.0419298761295,1.70651672920212,0.895054723136127,0.759529934963211,0.292625632602721,0,0
48,968580,967474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,70,98,111,129,0,2710,0,0,967177.146871711,965991.258514275,17.4711067600693,66.9914242780795,80.3852723243666,42.6534937555917,120.451658847141,299.287213719018,367.941029380543,77.6800594496921,0,7.65909318085485,35.3976724832152,63.4592707104002,1.67429921240546,0.93213534890674,0.882613185560331,0,0,0
49,965741,964473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,72,116,113,144,0,2862,0,0,964253.30467563,962890.155221744,23.0049687912456,72.0549714834997,101.472098662882,41.5473715482659,135.772483353217,357.402934660837,419.116804082177,90.6259846197331,1.3569130433529,9.04911845368843,34.2665751437618,71.2796033149554,0.277270811842754,0.937494303565472,0.357856879476458,0.556694890139404,0,0
50,962735,961281,33354,0,0,0,0,0,927927,0,0,0,0,0,6205,27149,0,0,1272,711,3046,641,434,78,23,0,0,0,0,0,0,0,9,30,33,38,134,0,3020,0,0,961185.154914521,958567.687339791,664.15932671773,478.507952210669,144.133484199809,51.7190901928294,154.905156086419,421.894544534781,491.877287182079,98.3089532269848,3.72330213138495,8.62148869155005,38.5864542882362,69.9688876314518,0,1.98331802431494,0,0,0,0
51,959581,956976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,42,39,123,0,3440,0,0,957783.033247859,955180.557051051,10.932849017668,29.3617227944481,36.2839513868147,16.0359970703286,815.051319817308,884.820804234937,596.449085710466,114.165081574076,3.89893934107373,13.3843593426895,38.4647511110693,41.2540656373041,0.114223645767197,3.09027711953968,0,0,0,0
52,956018,953411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,70,52,106,0,3658,0,0,954137.912809827,951486.688524057,24.792478387723,31.8283421560573,47.7014854133121,24.5467052595002,817.58564999021,893.136180203692,605.101875898519,102.979576705258,6.28441107554985,19.9403166729493,30.8493450069999,38.1214972045659,2.11410776921548,2.95588873093851,1.87093489570543,0.741116766585037,0,0
53,952254,949570,31704,0,0,0,0,0,886060,0,0,0,0,0,5929,25775,129,2891,1285,809,3000,530,260,37,8,94,18,17,0,0,0,0,12,31,27,24,101,0,3742,0,0,950345.418560675,946832.265211955,543.053858765022,296.823815023553,81.4013816751413,22.0142533213908,830.970581008677,895.493856629339,625.671523958125,106.559012247351,8.09327210917343,28.0838938229299,29.7083587830792,37.6547838499648,4.11947162519209,1.77186223631725,3.51165866386145,0.794417618541047,0,0
54,948411,944913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,27,43,108,0,4215,0,0,946207.981526076,942713.922522582,16.2997679935417,29.9032490690543,20.8363938091248,13.922818787761,1357.9616552371,1162.02974684119,677.134936875523,109.924336144999,12.4441178095019,26.5035992362888,26.8262534409182,28.6273358035749,3.61866672709584,4.2420304203406,2.48453047405928,0,0,0
55,944088,940586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,42,67,50,130,0,4605,0,0,941719.885260466,938191.64152452,22.1432389045308,34.4282921173559,42.027215939994,20.7000634985715,1347.36829645314,1144.2650038176,671.036665895998,108.803685041395,23.576746420129,40.6702105899606,26.0944443593723,33.6835520337368,3.31638035736978,7.0191658642143,1.5281063686125,0.589257275300902,0,0
56,939353,935813,30589,0,0,0,0,0,843426,0,0,0,0,0,6138,24451,141,2848,1487,832,2981,529,253,46,10,99,21,17,3,0,1,0,14,17,29,29,131,0,4865,0,0,936860.795219051,932509.335509428,544.846719702716,277.831971964429,90.7563096151375,26.3426492987021,1342.72867463775,1133.43238648845,685.371732268433,112.483263247467,22.3986663804912,37.8856996242171,29.5184242516676,29.5632531334239,6.63415393885225,9.91489750659093,3.85780697971321,0,0,0
57,934357,930033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,1771,0,0,0,0,0,0,0,104,14,43,3,2,0,0,12,24,35,25,124,0,5307,0,0,931661.977003083,927353.307708587,16.790106971895,23.3010104548183,32.9287137329831,11.6541329612511,1852.08801163188,1360.8987897371,754.002317900276,115.599061660365,29.5557524177656,43.8035447249503,21.2922283804452,30.0588572432098,5.93163029081188,6.41657262248918,3.00168928713538,0,0,0
58,928926,924645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,2788,0,0,0,0,0,0,0,136,11,8,0,0,0,0,19,42,66,53,141,0,5707,0,0,926012.36106291,921719.826576709,17.6038340872146,32.4741996048518,36.9547993081112,16.2277585212232,1819.15633758534,1339.74348614146,765.833726602649,115.144318059094,41.00348002209,38.1749463076887,21.1782305673523,25.6977484208638,8.71830099634826,7.75069606909528,2.84510930324905,0,0,0
59,923078,918772,29612,0,0,0,0,0,799227,0,0,0,0,0,6432,23180,155,2802,1593,897,3094,548,255,36,8,127,14,14,0,0,0,0,12,21,30,24,144,1,6149,0,0,919925.216067188,914813.262499435,556.18577555702,283.829777088272,78.1544356071,21.011952129353,1779.74233348673,1326.14391699102,774.767156979336,113.782389910253,46.2732186833096,42.1918018770324,34.483839928751,34.6407613779184,15.1172240551095,7.46709835575894,3.99956431332976,0.621995910536498,0,0
60,916784,911716,894,0,0,0,0,0,24866,0,0,0,0,0,172,722,188,1878,32,15,81,20,20,4,0,138,17,27,2,4,0,0,12,20,32,33,171,0,6676,0,0,913355.891781238,908295.150177917,34.1927010197511,41.7990248813857,31.5365681944414,9.45137244311717,2262.77588612922,1561.99821848966,817.948625055451,121.466914347288,54.3899096731602,40.8792550797625,31.7767449232414,19.1407248272022,18.7623132413719,6.62600935599767,5.98075699131005,1.03848721276995,0,0
61,909937,904920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,2709,0,0,0,0,0,0,0,155,15,7,0,0,0,0,16,28,60,45,157,0,7174,0,0,906304.2672268,901314.246041889,13.6318491611072,24.6037165958683,39.6125365863311,12.9462003995744,2221.18244918712,1547.55752537089,822.671570563579,119.06379274278,55.8721228226288,48.3474356220927,22.286789403284,25.5693410655563,19.9140151392203,7.70957153709605,6.93268108414486,0.648262159898877,0,0
62,902606,897632,28143,0,0,0,0,0,753431,0,0,0,0,0,6712,21431,219,2859,1705,969,3183,557,249,40,9,174,30,14,1,0,0,0,10,16,40,43,175,0,7605,0,0,898742.58869083,892974.65269821,560.628640386019,268.734318881453,79.0980702855112,25.3453135896412,2172.84316946512,1524.89468018023,831.442035311173,119.58766661764,52.7246154917357,37.5290764866639,28.8137661712049,30.173245646453,17.1984277020674,11.5396949101705,6.31558132451028,1.07393281650729,0,0
63,894826,889102,1678,0,0,0,0,0,47428,0,0,0,0,0,325,1353,209,2132,86,38,155,32,12,2,0,135,28,43,1,2,0,0,11,20,40,53,161,0,8247,0,0,890626.553685229,884894.517547416,40.7832312774112,30.221673611137,39.9505664724798,18.0855293563995,2642.07434948198,1744.14721805475,880.50159947033,129.063411604369,67.441600674991,35.9471730551678,31.4811982998783,26.1112214964894,24.7962469214108,13.7521481618751,4.84615094843321,1.27780502359383,0,0
64,886418,880721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,2809,0,0,0,0,0,0,0,128,15,15,0,0,1,0,24,44,67,56,200,0,9269,0,0,881652.467346754,875980.673977076,18.1862976553335,31.8690758819362,43.0617401084267,27.9139729416609,2590.75979029119,1714.52942367849,894.769441527018,124.270920842622,66.9127759653591,47.1284257340508,27.0459127459342,39.4334711583717,25.270336500369,13.0972069012932,5.62716738320887,0.615201988024637,0,0
65,876949,871306,27013,0,0,0,0,0,704940,0,0,0,0,0,7197,19816,243,3073,1854,1092,3313,601,276,52,9,192,26,23,1,1,0,0,14,24,31,30,195,0,9802,0,0,871976.786578328,865479.037464206,606.519995585171,300.424883306753,93.4027416381879,18.6600069271856,2513.25179153794,1683.07639584677,911.48263879807,129.209401142659,68.9959394511102,50.8043504627972,20.8467342929394,39.7016910311078,33.2670741209295,18.9169035251252,10.8066317143384,1.38479801197536,0,0
66,866952,860534,2412,0,0,0,0,0,67348,0,0,0,0,0,500,1912,261,2266,113,85,227,45,20,8,2,178,26,53,2,1,1,0,20,39,58,42,190,0,10530,0,0,861606.832271724,855161.816715432,64.3666935358157,47.6324742492257,46.6535894202871,14.3563026629892,3022.73367419073,1912.45765277743,969.622491952161,126.184515859804,66.3335870141473,48.7527776832945,25.7897481355384,33.7349252364311,30.9278931075241,24.093684644405,9.01612341380678,2.89271461521275,0,0
67,856232,849827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,4358,0,0,0,0,0,0,0,325,44,40,2,1,0,0,23,40,67,63,198,0,11453,0,0,850442.217161706,844077.432747779,23.4199387703568,39.2018243968238,53.0883675959783,19.5474485635716,2970.85322383648,1892.73931809492,976.66472903746,121.83850975098,75.7535918164573,50.2464713608943,29.075550562545,30.4065735873226,40.7752860548312,18.5114209729943,14.7016208940186,1.68999094306491,0,0
68,844581,838254,25521,0,0,0,0,0,653394,0,0,0,0,0,7615,17906,607,5533,1997,1173,3502,614,281,39,9,465,70,66,6,0,0,0,7,28,47,37,215,0,12383,0,0,838262.19175178,831080.132366631,623.467384199059,304.690547941886,85.9034209928301,23.6856628477783,2876.22535228006,1861.59247515582,991.638757216204,127.07830213663,77.4670725192091,49.9584357732796,31.3469684488549,38.0658837775502,48.2222650484182,25.8509139856324,16.6657591248746,2.24575508246198,0,0
69,831983,824889,3114,0,0,0,0,0,84251,0,0,0,0,0,723,2391,336,2469,179,131,311,63,30,8,1,236,39,54,5,2,0,0,23,34,38,49,198,0,13620,0,0,825051.473775808,817930.125962602,80.1458949382571,61.099811532636,45.7969619533977,17.9993862074596,3370.04151170348,2085.44610022014,1032.02199487083,132.811633884468,75.3686895523488,54.0471370800126,38.87827598439,33.9716648412779,55.6216044495814,28.9101017213149,12.7214174948167,0.62558205544596,0,0
